essai,date plantation_ou_coupe,age,date notation,modalité,parcelle,Note_globale_plein,Note_globale_R,Note_globale_IR,Note_adv_plein,Note_adv_R,Note_adv_IR,Note_pds_plein,Note_pds_R,Note_pds_IR,Cyperus rotundus ,Mimosa pudica ,Cardiospermum halicacabum,Senna occidentalis ,Ipomoea obscura ,Desmodium intortum,Croton bonplandianus,Bidens pilosa ,Passiflora foetida ,Tephrosia purpurea ,Momordica charantia ,Centrosema pubescens ,Lantana camara,Crotalaria retusa ,Commelina benghalensis,Litsea glutinosa ,Sida acuta ,Cajanus scarabeoides,Oxalis corniculata,Argemone mexicana ,Euphorbia hypericifolia,Sonchus asper ,Sonchus oleraceus,Phyllanthus urinaria ,Rottboellia cochinchinensis ,Euphorbia heterophylla ,Chamaesyce hirta ,Amaranthus dubius,Canavalia ensiformis,Hibiscus surattensis ,Lapsana communis ,Solanum mauritianum ,Sigesbeckia orientalis ,Conyza sumatrensis ,Phyllanthus tenellus,Brachiaria eruciformis,Ricinus communis ,,,,,,Cyperus rotundus 
P41,25/7/2018,"1,1",27/8/2018,TE,P1,5,5,5,5,5,5,,,,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Amaranthus dubius
P41,25/7/2018,"1,1",27/8/2018,M4,P2,3,1,5,3,1,5,,,,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Argemone mexicana 
P41,25/7/2018,"1,1",27/8/2018,M6,P3,3,1,5,3,1,5,,,,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bidens pilosa 
P41,25/7/2018,"1,1",27/8/2018,M1,P4,5,5,5,5,5,5,,,,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Brachiaria eruciformis
P41,25/7/2018,"1,1",27/8/2018,Tréf,P5,5,5,5,5,5,5,,,,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Cajanus scarabeoides
P41,25/7/2018,"1,1",27/8/2018,M2,P6,3,1,5,3,1,5,,,,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Canavalia ensiformis
P41,25/7/2018,"1,1",27/8/2018,M3,P7,3,1,5,3,1,5,,,,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Cardiospermum halicacabum
P41,25/7/2018,"1,1",27/8/2018,M5,P8,3,1,5,3,1,5,,,,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Centrosema pubescens 
P41,25/7/2018,"1,1",27/8/2018,M6,P9,3,1,5,3,1,5,,,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,Chamaesyce hirta 
P41,25/7/2018,"1,1",27/8/2018,M3,P10,3,1,5,3,1,5,,,,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Commelina benghalensis
P41,25/7/2018,"1,1",27/8/2018,M2,P11,3,1,5,3,1,5,,,,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Conyza sumatrensis 
P41,25/7/2018,"1,1",27/8/2018,TE,P12,3,1,5,3,1,5,,,,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Crotalaria retusa 
P41,25/7/2018,"1,1",27/8/2018,M4,P13,3,1,5,3,1,5,,,,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Croton bonplandianus
P41,25/7/2018,"1,1",27/8/2018,M1,P14,3,1,5,3,1,5,,,,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Desmodium intortum
P41,25/7/2018,"1,1",27/8/2018,M5,P15,3,1,5,3,1,5,,,,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Euphorbia heterophylla 
P41,25/7/2018,"1,1",27/8/2018,Tréf,P16,3,1,5,3,1,5,,,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,Euphorbia hypericifolia
P41,25/7/2018,"1,1",27/8/2018,M2,P17,3,5,1,3,5,1,,,,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Hibiscus surattensis 
P41,25/7/2018,"1,1",27/8/2018,M6,P18,3,5,1,3,5,1,,,,5,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Ipomoea obscura 
P41,25/7/2018,"1,1",27/8/2018,Tréf,P19,3,5,1,3,5,1,,,,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,Lantana camara
P41,25/7/2018,"1,1",27/8/2018,M5,P20,3,5,1,3,5,1,,,,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Lapsana communis 
P41,25/7/2018,"1,1",27/8/2018,TE,P21,3,1,5,3,1,5,,,,5,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Litsea glutinosa 
P41,25/7/2018,"1,1",27/8/2018,M4,P22,3,5,1,3,5,1,,,,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Mimosa pudica 
P41,25/7/2018,"1,1",27/8/2018,M3,P23,3,5,1,3,5,1,,,,5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Momordica charantia 
P41,25/7/2018,"1,1",27/8/2018,M1,P24,3,1,5,3,1,5,,,,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,Oxalis corniculata
P41,25/7/2018,"1,1",27/8/2018,M1,P25,3,1,5,3,1,5,,,,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,Passiflora foetida 
P41,25/7/2018,"1,1",27/8/2018,TE,P26,3,1,5,3,1,5,,,,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Phyllanthus tenellus
P41,25/7/2018,"1,1",27/8/2018,M5,P27,3,5,1,3,5,1,,,,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Phyllanthus urinaria 
P41,25/7/2018,"1,1",27/8/2018,M3,P28,3,5,1,3,5,1,,,,5,0,5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Ricinus communis 
P41,25/7/2018,"1,1",27/8/2018,Tréf,P29,3,1,5,3,1,5,,,,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,Rottboellia cochinchinensis 
P41,25/7/2018,"1,1",27/8/2018,M6,P30,3,1,5,3,1,5,,,,5,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Senna occidentalis 
P41,25/7/2018,"1,1",27/8/2018,M2,P31,3,5,1,3,5,1,,,,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Sida acuta 
P41,25/7/2018,"1,1",27/8/2018,M4,P32,3,1,5,3,1,5,,,,5,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,Sigesbeckia orientalis 
P41,25/7/2018,"1,8",19/9/2018,TE,P1,35,30,40,,,,,,,40,0,10,1,1,0,1,10,5,0,1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Solanum mauritianum 
P41,25/7/2018,"1,8",19/9/2018,M4,P2,30,20,40,15,20,10,15,0,30,10,0,1,0,0,0,0,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,Sonchus asper 
P41,25/7/2018,"1,8",19/9/2018,M6,P3,25,20,30,15,20,10,10,0,20,20,0,1,1,1,0,0,5,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,Sonchus oleraceus
P41,25/7/2018,"1,8",19/9/2018,M1,P4,"27,5",30,25,"22,5",30,15,5,0,10,30,0,5,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,Tephrosia purpurea 
P41,25/7/2018,"1,8",19/9/2018,Tréf,P5,"12,5",15,10,"12,5",15,10,,,,20,0,5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M2,P6,"22,5",10,35,"7,5",10,5,15,0,30,10,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M3,P7,"17,5",20,15,"12,5",20,5,5,0,10,10,0,5,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M5,P8,35,20,50,15,20,10,20,0,40,20,0,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M6,P9,15,10,20,10,10,10,5,0,10,20,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M3,P10,25,20,30,15,20,10,10,0,20,20,0,5,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M2,P11,"22,5",10,35,"7,5",10,5,15,0,30,10,0,1,0,1,0,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,TE,P12,20,20,20,20,20,20,,,,20,0,5,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M4,P13,25,10,40,10,10,10,15,0,30,15,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M1,P14,25,20,30,15,20,10,10,0,20,20,0,5,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M5,P15,"22,5",20,25,"12,5",20,5,10,0,20,20,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,Tréf,P16,15,20,10,15,20,10,,,,20,0,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M2,P17,"27,5",20,35,"12,5",20,5,15,0,30,20,0,5,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M6,P18,"22,5",20,25,"12,5",20,5,10,0,20,15,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,Tréf,P19,"12,5",20,5,"12,5",20,5,,,,20,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M5,P20,20,10,30,15,20,10,10,0,20,20,0,5,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,TE,P21,"17,5",20,15,"17,5",20,15,,,,20,0,5,1,1,0,0,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M4,P22,"22,5",10,35,"7,5",10,5,15,0,30,10,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M3,P23,"22,5",20,25,"12,5",20,5,10,0,20,20,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M1,P24,25,20,30,15,20,10,10,0,20,20,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M1,P25,25,20,30,15,20,10,10,0,20,20,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,TE,P26,15,20,10,15,20,10,,,,20,0,1,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M5,P27,"17,5",10,25,"7,5",10,5,10,0,20,5,0,5,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M3,P28,"17,5",10,25,"7,5",10,5,10,0,20,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,Tréf,P29,"7,5",10,5,"7,5",10,5,,,,10,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M6,P30,"17,5",10,25,"7,5",10,5,10,0,20,10,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M2,P31,20,10,30,"12,5",15,10,15,0,30,10,0,5,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"1,8",19/9/2018,M4,P32,"22,5",10,35,"7,5",10,5,15,0,30,10,0,1,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,TE,P1,45,60,30,45,60,30,,,,5,0,20,5,5,0,0,20,5,1,1,1,1,0,1,0,1,1,0,0,0,10,10,5,0,0,0,1,0,0,0,1,5,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M4,P2,60,60,60,40,60,20,20,0,40,5,0,20,1,1,0,1,20,1,1,1,1,0,0,1,0,0,0,0,0,0,10,1,10,0,0,0,1,0,0,0,1,1,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M6,P3,65,60,70,35,60,10,30,0,60,5,0,5,1,1,0,0,20,1,1,0,1,0,0,1,0,0,1,0,0,10,20,1,10,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M1,P4,50,70,30,45,70,20,5,0,10,10,0,20,1,1,0,1,20,1,0,0,1,0,0,0,0,0,0,0,0,5,5,10,5,0,0,0,5,0,0,0,1,10,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,Tréf,P5,40,60,20,40,60,20,,,,40,0,1,1,1,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,0,0,0,5,0,0,0,0,1,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M2,P6,65,50,80,30,50,10,35,0,70,10,0,1,1,1,0,1,20,0,1,0,1,0,0,1,0,1,0,0,0,10,10,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M3,P7,50,50,50,35,50,20,15,0,30,5,0,10,5,1,0,1,20,1,0,0,0,1,0,0,0,0,1,0,0,10,10,1,10,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M5,P8,70,60,80,40,60,20,30,0,60,10,5,1,1,1,0,5,30,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M6,P9,45,40,50,25,40,10,20,0,40,5,5,1,0,1,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
P41,25/7/2018,"2,6",12/10/2018,M3,P10,50,60,40,35,60,10,15,0,30,20,1,1,0,1,0,1,20,1,0,0,0,0,0,0,0,0,0,0,0,5,5,5,10,0,0,0,5,0,0,0,0,0,0,0,0,0,,,,,,
